Year,Month,Country,all_Northing,all_Easting,T_area (ha),Lat,Lon
2005,May,Niger,"['1152N', '1428N', '1329N', '1346N', '1318N', '1505N']","['0328E', '0127E', '0710E', '0858E', '1236E', '0850E']",938,15.05,08.50
2005,May,Algeria,"['3323N', '3448N', '3225N', '3526N', '2250N']","['0649E', '0549E', '0337E', '0706E', '0427E']",1570,22.50,04.27
2005,May,Morocco,"['3429N', '3428N']","['0146W', '0159W']",47,34.28,-01.59
2005,May,Egypt,"['2308N', '2219N']","['3535E', '2845E']",557,22.19,28.45
2005,Oct,Niger,"['1904N', '1844N', '1658N', '1941N', '1806N', '1815N', '1846N']","['0825E', '0722E', '0759E', '0815E', '0736E', '0548E', '0731E']",125,18.46,07.31
2005,Oct,Algeria,['2434N'],['0930E'],5120,24.34,09.30
2005,Oct,Pakistan,['2758N'],['7149E'],2310,27.58,71.49
2005,Oct,India,"['2706N', '2652N']","['7222E', '7055E']",3456,26.52,70.55
2004,Sep,Mauritania,"['17N', '1833N', '1639N', '1636N', '1703N']","['1126W', '0936W', '0715W', '1355W']",200000,17.03,-13.55
2004,Sep,Senegal,"['1524N', '1601N']","['1507W', '1629W']",211000,16.01,-16.29
2004,Sep,Faso,"['1409N', '1403N', '1343N']","['0138W', '0002W', '0012W']",5256,13.43,-00.12
2004,Sep,Niger,"['1457N', '1428N', '1843N', '1846N', '1346N']","['0519E', '0127E', '0721E', '1304E', '0858E']",98000,13.46,08.58
2004,Sep,Chad,"['1311N', '1523N', '1501N', '1507N', '1550N']","['1820E', '1800E', '2040E', '2215E', '2054E']",6800,15.50,20.54
2004,Sep,Algeria,"['1958N', '2250N', '1937N']","['0258E', '0528E', '0552E']",2800,19.37,05.52
2004,Sep,Jamahiriya,"['2410N', '2629N', '2459N']","['2325E', '1215E', '1011E']",1060,24.59,10.11
2004,Oct,Mauritania,"['2032N', '2244N', '1614N']","['1308W', '1221W', '0810W']",363946,16.14,-08.10
2004,Oct,Senegal,"['1540N', '1427N']","['1318W', '1638W']",341354,14.27,-16.38
2004,Oct,Mali,['16N'],[],106582,Missing,Missing
2004,Oct,Faso,[],[],3839,Missing,Missing
2004,Oct,Niger,"['1428N', '1421N', '1430N', '1505N', '1318N', '1457N', '1650N', '1843N']","['0127E', '0319E', '0645E', '0850E', '1236E', '0519E', '0550E', '0721E']",96383,18.43,07.21
2004,Oct,Chad,"['1400N', '1331N', '1357N', '1501N', '1550N', '1714N']","['1630E', '1834E', '1926E', '2040E', '2054E', '2132E']",2000,17.14,21.32
2004,Oct,Islands,[],[],497,Missing,Missing
2004,Oct,Algeria,"['2434N', '2630N', '2120N', '1937N', '2250N', '2741N', '3011N', '3452N', '3245N', '3225N', '3157N']","['0930E', '0825E', '0056E', '0552E', '0528E', '0811W', '0214W', '0119W', '0035W', '0337E', '0520E']",131745,31.57,05.20
2004,Oct,Jamahiriya,['3206N'],['2356E'],4925,32.06,23.56
2004,Oct,Yemen,"['1541N', '1619N', '1450N', '1250N', '1525N']","['4300E', '4248E', '4258E', '4503E', '4521E']",175,15.25,45.21
2003,May,Algeria,"['2712N', '2250N', '2247N', '2630N', '2434N']","['0229E', '0528E', '0412E', '0825E', '0930E']",650,24.34,09.30
2003,Oct,Mauritania,"['1702N', '1751N', '1740N', '1945N', '1945N', '2119N', '2056N', '2027N', '1829N', '2244N']","['0941W', '1228W', '1446E', '1421W', '1421W', '1420W', '1137W', '1221W', '1131W', '1221W']",1607,22.44,-12.21
2003,Oct,Senegal,"['1630N', '2753N', '2630N']","['1438W', '0016W', '0825E']",478,27.53,-00.16
2003,Oct,Algeria,"['2753N', '2630N']","['0016W', '0825E']",478,27.53,-00.16
2003,Oct,Egypt,['2439N'],['3035E'],203,24.39,30.35
2005,Sep,Algeria,['2250N'],['0528E'],315,22.50,05.28
2005,Sep,Jamahiriya,"['2532N', '2531N']","['0955E', '0945E']",1555,25.31,09.45
2005,Sep,Sudan,"['1337N', '1820N', '1311N', '1400N', '1908N', '1407N']","['2522E', '3621E', '3010E', '3220E', '3717E', '2543E']",159,14.07,25.43
2005,Sep,Eritrea,"['1723N', '1626N', '1553N']","['3833E', '3840E', '3906E']",85,15.53,39.06
2005,Sep,Yemen,"['1440N', '1442N', '1450N', '1600N']","['4618E', '4615E', '4258E', '4312E']",175,16.00,43.12
2005,Sep,India,"['2618N', '2801N', '2543N', '2706N', '2652N']","['7308E', '7322E', '7125E', '7222E', '7055E']",1886,26.52,70.55
2005,Aug,Algeria,['2250N'],['0528E'],640,22.50,05.28
2005,Aug,Sudan,"['1337N', '1327N', '1251N', '1201N', '1742N']","['2522E', '2230E', '2329E', '2450E', '3400E']",11597,17.42,34.00
