Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha)
2019,Mar,SUDAN,"['1745N', '2034N']","['3820E', '3702E']",Bir Salalah,25950
2019,Mar,ERITREA,"['1537N', '1628N', '1723N']","['3928E', '3856E', '3833E']",Mehimet,7115
2019,Mar,EGYPT,"['2224N', '2213N', '2359N', '412N', '2504N', '2717N', '2154N']","['3624E', '3638E', '3524E', '3438E', '3454E', '3347E', '2458E']",Uweinat,4021
2019,Mar,ARABIA,"['2501N', '2008N', '2215N', '2700N', '2621N']","['3716E', '4016E', '3906E', '4939E', '4358E']",Gassim,45705
2019,Mar,IRAN,"['2708N', '2517N', '2854N', '2634N', '2652N']","['5705E', '6036E', '5050E', '5452E', '5329E']",area,2760
2019,Mar,PAKISTAN,"['2548N', '2515N', '2749N']","['6637E', '6328E', '6639E']",Khuzdar,345
2019,Jul,ALGERIA,"['3341N', '2916N', '2712N', '2250N']","['0102E', '0014E', '0229E', '0528E']",Tamanrasset,115
2019,Jul,SUDAN,"['1906N', '1533N', '1742N', '1311N', '1426N', '1830N', '1932N']","['3719E', '3235E', '3400E', '3010E', '3112E', '3149E', '3320E']",Abu Hamed,1180
2019,Jul,EGYPT,"['2219N', '2224N', '2405N', '2357N', '2710N', '2821N']","['2845E', '3624E', '3256E', '3018E', '2818E', '2851E']",Bahariya,4
2019,Jul,ARABIA,"['2028N', '2001N', '1813N', '2439N', '2731N', '2733N']","['4747E', '4129E', '4230E', '4642E', '4141E', '4742E']",Al Olaya,1300
2019,Jul,YEMEN,"['1610N', '1452N', '1302N', '1306N', '1541N', '1521N', '1527N', '1717N']","['4446E', '4545E', '4434E', '4523E', '4300E', '4412E', '4519E', '4955E']",Thamud,4605
2019,Jul,OMAN,"['1736N', '1700N', '2230N', '2234N']","['5401E', '5405E', '5802E', '5930E']",Sur,25
2019,Jul,PAKISTAN,"['2933N', '2614N', '2512N', '2749N', '2739N', '2751N', '2822N', '2506N', '2431N', '2924N']","['6601E', '6619E', '6438E', '6639E', '6857E', '7048E', '7020E', '7015E', '7046E', '7147E']",Bahawalpur,7666
