Year,Month,Country,T_area (ha)
2020,Jul,Afghanistan,3746
2020,Jul,Armenia,1130
2020,Jul,Azerbaijan,8602
2020,Jul,Georgia,38081
2020,Jul,Kazakhstan,85400
2020,Jul,Kyrgyzstan,14825
2020,Jul,Russia,108420
2020,Jul,Tajikistan,5504
2020,Jul,Uzbekistan,31386
2017,Aug,Azerbaijan,9496
2017,Aug,Georgia,1000
2017,Aug,Kyrgyzstan,4309
2017,Aug,Russia,46590
2021,Mar,Tajikistan,4843
2021,Mar,Turkmenistan,100
2021,Mar,Uzbekistan,875
2020,Mar,Tajikistan,8375
2020,Mar,Uzbekistan,4672
2021,Jul,Afghanistan,600
2021,Jul,Armenia,498
2021,Jul,Azerbaijan,13425.5
2021,Jul,Georgia,38175
2021,Jul,Kazakhstan,77460
2021,Jul,Kyrgyzstan,14308
2021,Jul,Russia,750000
2021,Jul,Tajikistan,4626
2021,Jul,Turkmenistan,114
2021,Jul,Uzbekistan,25806
2021,May,Afghanistan,62760
2021,May,Azerbaijan,5986.5
2021,May,Georgia,13230
2021,May,Kazakhstan,111040
2021,May,Kyrgyzstan,18150
2021,May,Tajikistan,79282
2021,May,Turkmenistan,32735
2021,May,Uzbekistan,326819
2020,Apr,Afghanistan,27162
2020,Apr,Azerbaijan,285
2020,Apr,Kazakhstan,29800
2020,Apr,Russia,500
2020,Apr,Tajikistan,36086
2020,Apr,Uzbekistan,56119
2014,Aug,Georgia,1510
2014,Aug,Kyrgyzstan,4254
2014,Aug,Russia,44300
2015,Aug,Georgia,2825
2015,Aug,Kazakhstan,13000
2015,Aug,Russia,129940
2021,Apr,Afghanistan,36802
2021,Apr,Azerbaijan,12
2021,Apr,Kazakhstan,20000
2021,Apr,Turkmenistan,10690
2021,Apr,Uzbekistan,112191
2020,May,Afghanistan,35413
2020,May,Azerbaijan,6360
2020,May,Georgia,1210
2020,May,Kazakhstan,84400
2020,May,Kyrgyzstan,14817
2020,May,Russia,91100
2020,May,Tajikistan,57414
2020,May,Uzbekistan,253571
2018,May,Azerbaijan,28900
2018,May,Georgia,705
2018,May,Kazakhstan,583800
2018,May,Kyrgyzstan,53037
2018,May,Russia,181950
