Year,Month,Country,T_area (ha)
2010,Apr,Saudi Arabia,673
2011,Apr,Algeria,440
2011,Apr,Egypt,2150
2011,Apr,Mauritania,8053
2011,Apr,Morocco,329
2011,Apr,Saudi Arabia,13124
2012,Apr,Algeria,3360
2012,Apr,Libya,3535
2013,Apr,Algeria,4664
2013,Apr,Egypt,403
2013,Apr,Eritrea,1060
2013,Apr,Israel,5168
2013,Apr,Morocco,781
2013,Apr,Saudi Arabia,13712
2013,Apr,Sudan,2252
2014,Apr,Eritrea,105
2014,Apr,Ethiopia,2370
2014,Apr,Iran,600
2014,Apr,Oman,130
2014,Apr,Saudi Arabia,19994
2014,Apr,Sudan,3620
2015,Apr,Eritrea,3000
2016,Apr,Algeria,26
2016,Apr,Mauritania,1358
2016,Apr,Morocco,6502
2017,Apr,Algeria,32
2019,Apr,Egypt,7470
2019,Apr,Iran,86570
2019,Apr,Mauritania,88
2019,Apr,Oman,12
2019,Apr,Pakistan,540
2019,Apr,Saudi Arabia,27812
2020,Apr,Afghanistan,20
2020,Apr,Ethiopia,51633
2020,Apr,India,1970
2020,Apr,Iran,98658
2020,Apr,Iraq,815
2020,Apr,Kenya,38378
2020,Apr,Oman,4147
2020,Apr,Pakistan,50289
2020,Apr,Somalia,600
2021,Apr,Egypt,307
2021,Apr,Ethiopia,15066
2021,Apr,Iran,5261
2021,Apr,Iraq,140
2021,Apr,Jordan,1500
2021,Apr,Kenya,136
2021,Apr,Kuwait,2
2021,Apr,Lebanon,406
2021,Apr,Somalia,16367
2021,Apr,Sudan,4640
2021,Apr,Syria,2867
2011,Aug,Algeria,40
2011,Aug,Morocco,1175
2013,Aug,Algeria,10
2013,Aug,Niger,695
2013,Aug,Yemen,120
2014,Aug,Ethiopia,313
2016,Aug,Ethiopia,208
2016,Aug,Pakistan,410
2018,Aug,Algeria,106
2019,Aug,Ethiopia,11
2019,Aug,India,36330
2019,Aug,Libya,70
2019,Aug,Mali,40
2019,Aug,Pakistan,16455
2019,Aug,Saudi Arabia,3900
2019,Aug,Sudan,200
2019,Aug,Yemen,110
2020,Aug,Eritrea,1310
2020,Aug,Ethiopia,54703
2020,Aug,India,49124
2020,Aug,Kenya,5454
2020,Aug,Oman,58
2020,Aug,Pakistan,26381
2020,Aug,Somalia,15377
2020,Aug,Sudan,250
2020,Aug,Yemen,5909
2021,Aug,Somalia,11985
2021,Aug,Sudan,180
2010,Dec,Algeria,410
2010,Dec,Mali,850
2010,Dec,Mauritania,2689
2010,Dec,Pakistan,600
2010,Dec,Sudan,5072
2010,Dec,Yemen,1050
2012,Dec,Algeria,292
2012,Dec,Egypt,6894
2012,Dec,Mauritania,16406
2012,Dec,Morocco,2582
2012,Dec,Niger,42891
2012,Dec,Saudi Arabia,1363
2012,Dec,Sudan,26689
2013,Dec,Eritrea,16200
2013,Dec,Mauritania,14483
2013,Dec,Saudi Arabia,10990
2013,Dec,Sudan,5894
2013,Dec,Yemen,15989
2014,Dec,Eritrea,4070
2014,Dec,Saudi Arabia,1823
2014,Dec,Sudan,11951
2015,Dec,Mauritania,3024
2015,Dec,Morocco,17
2016,Dec,Eritrea,7818
2016,Dec,Mauritania,7380
2016,Dec,Morocco,189
2016,Dec,Saudi Arabia,10
2016,Dec,Sudan,115
2016,Dec,Yemen,120
2018,Dec,Eritrea,7235
2018,Dec,Niger,394
2018,Dec,Sudan,1247
2019,Dec,Algeria,25
2019,Dec,Egypt,30
2019,Dec,Eritrea,11078
2019,Dec,Ethiopia,8410
2019,Dec,India,22113
2019,Dec,Iran,2372
2019,Dec,Mauritania,93
2019,Dec,Oman,1710
2019,Dec,Pakistan,71388
2019,Dec,Sudan,26846
2019,Dec,Yemen,80
2020,Dec,Algeria,43
2020,Dec,Egypt,235
2020,Dec,Eritrea,1780
2020,Dec,Ethiopia,210673
2020,Dec,Kenya,1336
2020,Dec,Mauritania,485
2020,Dec,Niger,2470
2020,Dec,Somalia,39101
2020,Dec,Sudan,18873
2021,Dec,Egypt,6
2021,Dec,Ethiopia,1956
2021,Dec,Somalia,24356
2021,Dec,Sudan,1550
2011,Feb,Algeria,45
2011,Feb,Egypt,580
2011,Feb,Eritrea,200
2011,Feb,Mauritania,19450
2011,Feb,Morocco,43
2011,Feb,Saudi Arabia,14196
2011,Feb,Sudan,9845
2012,Feb,Algeria,230
2012,Feb,Libya,2365
2013,Feb,Egypt,12378
2013,Feb,Eritrea,200
2013,Feb,Mauritania,2740
2013,Feb,Morocco,2291
2013,Feb,Saudi Arabia,14470
2013,Feb,Sudan,60979
2014,Feb,Eritrea,5380
2014,Feb,Saudi Arabia,37283
2014,Feb,Somalia,76
2014,Feb,Sudan,11381
2014,Feb,Yemen,3150
2015,Feb,Eritrea,3870
2015,Feb,Saudi Arabia,2570
2015,Feb,Sudan,41018
2016,Feb,Mauritania,1259
2016,Feb,Morocco,3345
2017,Feb,Mauritania,227
2017,Feb,Saudi Arabia,4243
2017,Feb,Somalia,85
2017,Feb,Sudan,85
2019,Feb,Egypt,4022
2019,Feb,Eritrea,22219
2019,Feb,Iran,4852
2019,Feb,Saudi Arabia,18468
2019,Feb,Sudan,38207
2020,Feb,Bahrain,3
2020,Feb,Egypt,154
2020,Feb,Eritrea,12153
2020,Feb,Ethiopia,41050
2020,Feb,India,11420
2020,Feb,Iran,2617
2020,Feb,Iraq,69
2020,Feb,Kenya,15000
2020,Feb,Oman,2100
2020,Feb,Pakistan,8299
2020,Feb,Somalia,1053
2020,Feb,Sudan,5050
2020,Feb,Yemen,1475
2021,Feb,Algeria,20
2021,Feb,Egypt,30
2021,Feb,Eritrea,1500
2021,Feb,Ethiopia,73838
2021,Feb,Kenya,11349
2021,Feb,Somalia,21143
2021,Feb,Sudan,16781
2021,Feb,Tanzania,638
2011,Jan,Egypt,382
2011,Jan,Mauritania,4970
2011,Jan,Morocco,55
2011,Jan,Saudi Arabia,2795
2011,Jan,Sudan,7058
2011,Jan,Yemen,1450
2012,Jan,Algeria,85
2013,Jan,Egypt,10792
2013,Jan,Eritrea,700
2013,Jan,Mauritania,2282
2013,Jan,Morocco,2156
2013,Jan,Saudi Arabia,19615
2013,Jan,Sudan,23352
2014,Jan,Algeria,20
2014,Jan,Eritrea,16545
2014,Jan,Mauritania,300
2014,Jan,Niger,541
2014,Jan,Saudi Arabia,23676
2014,Jan,Sudan,9475
2014,Jan,Yemen,678
2015,Jan,Eritrea,10247
2015,Jan,Saudi Arabia,7958
2015,Jan,Sudan,22676
2016,Jan,Mauritania,130
2016,Jan,Morocco,301
2017,Jan,Eritrea,276
2017,Jan,Mauritania,185
2017,Jan,Morocco,126
2017,Jan,Saudi Arabia,4242
2017,Jan,Sudan,100
